"MeetID","MeetPath","Federation","Date","MeetCountry","MeetState","MeetTown","MeetName","Year","lat","long","NumberParticipants","x","y","z"
4078,"pa/0807","PA","09-02-08","Australia","QLD",NA,"2008 QLD Masters & Juniors Competition",2008,-20.9175738,142.7027956,5,-0.743075428318891,0.566014485912806,-0.357024522358841
4079,"pa/0808","PA","28-09-08","Australia","QLD","Townsville","2008 Townsville Open",2008,-19.2589635,146.8169483,5,-0.790089705290319,0.516686490115395,-0.329838336956897
4080,"pa/0809","PA","17-02-08","Australia","NSW","Sydney","Sydney Open Powerlifting and Bench Press",2008,-33.8688197,151.2092955,20,-0.727676069074416,0.399889581832906,-0.557293334643354
4081,"pa/0810","PA","19-10-08","Australia","NSW","North Sydney","Sydney Grading Competition",2008,-33.83965,151.20541,16,-0.72789749515552,0.400075536952876,-0.55687054265618
4082,"pa/0811","PA","14-04-08","Australia","QLD","Townsville","2008 Suncorp Games",2008,-19.2589635,146.8169483,10,-0.790089705290319,0.516686490115395,-0.329838336956897
4083,"pa/0812","PA","11-10-08","Australia","SA","Mannum","South Australian Open",2008,-34.9130677,139.3052195,7,-0.621735061881552,0.53467798547147,-0.572332914202314
4084,"pa/0813","PA","12-04-08","Australia","SA","Port Pirie","South Australian Masters Games",2008,-33.1708294,138.0088567,4,-0.622130731453423,0.559994916728361,-0.547137136575122
4085,"pa/0814","PA","17-05-08","Australia","NSW","Singleton","2008 Singleton Strength Triathlon",2008,-32.5694741,151.1788155,17,-0.738347935772805,0.406265788850813,-0.538321868912517
4086,"pa/0815","PA","30-11-08","Australia","QLD","St. Lucia","2008 South East Challenge",2008,-27.5,153,17,-0.790332439387555,0.402694491428973,-0.461748613235034
4087,"pa/0816","PA","26-04-08","Australia","QLD","Brisbane","2008 Queensland Open",2008,-27.4697707,153.0251235,21,-0.790725944533525,0.402458351089035,-0.461280561350963
4088,"pa/0817","PA","23-02-08","Australia","SA","Port Pirie","Port Pirie Masters Come and Try Comp and Port Pirie Open",2008,-33.1708294,138.0088567,3,-0.622130731453423,0.559994916728361,-0.547137136575122
4089,"pa/0818","PA","12-04-08","Australia","WA","Perth","Perth Open",2008,-31.9505269,115.8604572,3,-0.37010178648159,0.763535195093672,-0.529186803970398
4090,"pa/0819","PA","06-09-08","Australia","NSW","Toronto","NSW Bench Press Open & Lake Macquarie Open",2008,-33.016194,151.582583,9,-0.73747866052076,0.399042994061497,-0.544876053948915
4091,"pa/0820","PA","08-03-08","Australia","NSW",NA,"NSW Open Juniors & Masters Bench Press and Disabled Competition",2008,-31.2532183,146.921099,23,-0.716323132038606,0.466589383001372,-0.518821277683173
4092,"pa/0821","PA","16-02-08","Australia","VIC","Melbourne","Melbourne Summer Bash",2008,-37.8136276,144.9630576,11,-0.646845363234025,0.453547827115086,-0.61309497191041
4093,"pa/0822","PA","14-06-08","Australia","VIC","Melbourne","Melbourne Novice Competition",2008,-37.8136276,144.9630576,12,-0.646845363234025,0.453547827115086,-0.61309497191041
4094,"pa/0823","PA","23-11-08","Australia","NSW","North Sydney","2008 Matti Tikka Open Powerlifting & Bench Press Championships",2008,-33.83965,151.20541,31,-0.72789749515552,0.400075536952876,-0.55687054265618
4095,"pa/0824","PA","23-08-08","Australia","TAS","Launceston","2008 Launceston Open",2008,-41.4332215,147.1440875,5,-0.629799268777545,0.406748329257946,-0.661746686952899
4096,"pa/0825","PA","13-09-08","Australia","VIC","Melbourne","Broadmeadows Novice Competition",2008,-37.8136276,144.9630576,15,-0.646845363234025,0.453547827115086,-0.61309497191041
4097,"pa/0826","PA","13-04-08","Australia",NA,NA,"Bring It On Challenge",2008,-25.274398,133.775136,13,-0.625603384602472,0.6529401371056,-0.426953841217585
4098,"pa/0827","PA","26-07-08","Australia","NSW","Newcastle","2008 National Open and Blind Championships and Powerfest Classic",2008,-32.9282712,151.7816802,60,-0.73959673278798,0.39687280921466,-0.54358867368205
4099,"pa/0828","PA","19-08-08","Australia","VIC","Melbourne","2008 Australian Juniors Masters Intervarsity and ABSF Championships and Victorian Open",2008,-37.8136276,144.9630576,73,-0.646845363234025,0.453547827115086,-0.61309497191041
4100,"pa/0829","PA","27-07-08","Australia","NSW","Newcastle","2008 Australian Open Bench Press Championships and Benchfest Classic",2008,-32.9282712,151.7816802,29,-0.73959673278798,0.39687280921466,-0.54358867368205
4101,"pa/0901","PA","03-10-09","Australia","WA","Cannington","Wild West Challenge",2009,-32.017,115.934,8,-0.370812776234793,0.762506880124757,-0.530170861839326
4102,"pa/0902","PA","20-06-09","Australia","WA","Perth","Western Australia Open",2009,-31.9505269,115.8604572,7,-0.37010178648159,0.763535195093672,-0.529186803970398
4103,"pa/0903","PA","18-04-09","Australia","WA","Perth","2009 WA Qualifier",2009,-31.9505269,115.8604572,7,-0.37010178648159,0.763535195093672,-0.529186803970398
4104,"pa/0904","PA","05-12-09","Australia","WA","Cannington","WA Push Pull Challenge",2009,-32.017,115.934,5,-0.370812776234793,0.762506880124757,-0.530170861839326
4105,"pa/0905","PA","13-08-09","Australia","QLD","St. Lucia","UQ Novice Competition II",2009,-27.5,153,13,-0.790332439387555,0.402694491428973,-0.461748613235034
4106,"pa/0906","PA","31-01-09","Australia","QLD","St. Lucia","UQ Novice Championships",2009,-27.5,153,7,-0.790332439387555,0.402694491428973,-0.461748613235034
4107,"pa/0907","PA","10-10-09","Australia","TAS","Ulverstone","Ulverstone Open",2009,-41.1702632,146.1872071,10,-0.625435587986319,0.418894892044352,-0.658298864270142
4108,"pa/0908","PA","29-03-09","Australia","QLD","Townsville","Townsville Open",2009,-19.2589635,146.8169483,8,-0.790089705290319,0.516686490115395,-0.329838336956897
4109,"pa/0909","PA","16-05-09","Australia","TAS","Wynyard","Tasmanian Open",2009,-41,145.7166671,10,-0.623587988218683,0.425117126718518,-0.656059028990507
4110,"pa/0910","PA","18-10-09","Australia","NSW","Sydney","Sydney Bench Press Open",2009,-33.8688197,151.2092955,18,-0.727676069074416,0.399889581832906,-0.557293334643354
4111,"pa/0911","PA","30-05-09","Australia","SA","Mannum","South Australian Open",2009,-34.9130677,139.3052195,9,-0.621735061881552,0.53467798547147,-0.572332914202314
4112,"pa/0912","PA","16-05-09","Australia","NSW","Singleton","Singleton Strength Triathlon",2009,-32.5694741,151.1788155,23,-0.738347935772805,0.406265788850813,-0.538321868912517
4113,"pa/0913","PA","28-11-09","Australia","QLD","Beenleigh","SE Challenge",2009,-27.716111,153.201944,22,-0.790186636135859,0.399118340847526,-0.465090991174214
4114,"pa/0914","PA","04-04-09","Australia","VIC","Melbourne","2009 Australian Junior Championships and Intervarsity Championships and Melbourne Open",2009,-37.8136276,144.9630576,57,-0.646845363234025,0.453547827115086,-0.61309497191041
4115,"pa/0915","PA","28-02-09","Australia","VIC","Geelong","2009 Australian Masters Games and Masters Championships and Geelong Open",2009,-38.1499181,144.3617186,51,-0.639114110908769,0.458206956544624,-0.617721246365548
4116,"pa/0916","PA","18-07-09","Australia","NSW","Sydney","2009 Australian PL and BP Championships and Sydney PL and BP Classic",2009,-33.8688197,151.2092955,94,-0.727676069074416,0.399889581832906,-0.557293334643354
4117,"pa/0917","PA","19-06-09","Australia","QLD","Acacia Park","Acacia Park Novice Competition",2009,-27.2888603,153.0183871,8,-0.791972627410593,0.403210121983291,-0.45847677690651
4118,"pa/0918","PA","21-02-09","Australia","SA","Mannum","Country Open",2009,-34.9130677,139.3052195,8,-0.621735061881552,0.53467798547147,-0.572332914202314
4119,"pa/0919","PA","15-02-09","Australia","NSW","Sydney","February Might and Power",2009,-33.8688197,151.2092955,12,-0.727676069074416,0.399889581832906,-0.557293334643354
4120,"pa/0920","PA","19-09-09","Australia","VIC","Campbellfield","Global One Battler's Open",2009,-37.673,144.957,23,-0.648027461912004,0.454478881675482,-0.611154116994142
4121,"pa/0921","PA","13-06-09","Australia","VIC","Campbellfield","Global One Challenge",2009,-37.673,144.957,19,-0.648027461912004,0.454478881675482,-0.611154116994142
4122,"pa/0922","PA","11-10-09","Australia","SA","Mannum","Riverland Challenge",2009,-34.9130677,139.3052195,10,-0.621735061881552,0.53467798547147,-0.572332914202314
4123,"pa/0923","PA","28-03-09","Australia","QLD","Brisbane","2009 Queensland Open",2009,-27.4697707,153.0251235,29,-0.790725944533525,0.402458351089035,-0.461280561350963
4124,"pa/0924","PA","07-03-09","Australia","NSW","Toronto","NSW Open Juniors and Masters",2009,-33.016194,151.582583,14,-0.73747866052076,0.399042994061497,-0.544876053948915
4125,"pa/0925","PA","21-11-09","Australia","NSW","Sydney","Matti Tikka Challenge",2009,-33.8688197,151.2092955,48,-0.727676069074416,0.399889581832906,-0.557293334643354
4126,"pa/0926","PA","14-02-09","Australia","TAS","Launceston","Launceston Challenge",2009,-41.4332215,147.1440875,13,-0.629799268777545,0.406748329257946,-0.661746686952899
4127,"pa/0927","PA","05-09-09","Australia","NSW","Toronto","Lake Macquarie Open",2009,-33.016194,151.582583,27,-0.73747866052076,0.399042994061497,-0.544876053948915
4128,"pa/0928","PA","27-09-09","Australia","QLD","Townsville","John Hill Cup",2009,-19.2589635,146.8169483,9,-0.790089705290319,0.516686490115395,-0.329838336956897
4129,"pa/0929","PA","12-12-09","Australia","TAS","Hobart","Hobart Open",2009,-42.8821377,147.3271949,13,-0.616809125562756,0.395571122261613,-0.68049246127727
4130,"pa/0930","PA","28-11-09","Australia","VIC","Campbellfield","Global One Victorian Extravaganza",2009,-37.673,144.957,35,-0.648027461912004,0.454478881675482,-0.611154116994142
4131,"pa/1001","PA","02-10-10","Australia","WA","Perth","Wild West Challenge",2010,-31.9505269,115.8604572,7,-0.37010178648159,0.763535195093672,-0.529186803970398
4132,"pa/1002","PA","04-12-10","Australia","TAS","Launceston","Tassie Final Show of Strength",2010,-41.4332215,147.1440875,6,-0.629799268777545,0.406748329257946,-0.661746686952899
4133,"pa/1003","PA","15-08-10","Australia","QLD","St Lucia","Winter UQ Novice Competition",2010,-27.5,153,11,-0.790332439387555,0.402694491428973,-0.461748613235034
