"","MeetID","MeetPath","Federation","Date","MeetCountry","MeetState","MeetTown","MeetName","Year","lat","long"
51,4093,"pa/0822","PA","14-06-08","Australia","VIC","Melbourne","Melbourne Novice Competition",2008,-37.8136276,144.9630576
52,4094,"pa/0823","PA","23-11-08","Australia","NSW","North Sydney","2008 Matti Tikka Open Powerlifting & Bench Press Championships",2008,-33.83965,151.20541
53,4095,"pa/0824","PA","23-08-08","Australia","TAS","Launceston","2008 Launceston Open",2008,-41.4332215,147.1440875
54,4096,"pa/0825","PA","13-09-08","Australia","VIC","Melbourne","Broadmeadows Novice Competition",2008,-37.8136276,144.9630576
55,4097,"pa/0826","PA","13-04-08","Australia","","","Bring It On Challenge",2008,-25.274398,133.775136
56,4098,"pa/0827","PA","26-07-08","Australia","NSW","Newcastle","2008 National Open and Blind Championships and Powerfest Classic",2008,-32.9282712,151.7816802
57,4099,"pa/0828","PA","19-08-08","Australia","VIC","Melbourne","2008 Australian Juniors Masters Intervarsity and ABSF Championships and Victorian Open",2008,-37.8136276,144.9630576
58,4100,"pa/0829","PA","27-07-08","Australia","NSW","Newcastle","2008 Australian Open Bench Press Championships and Benchfest Classic",2008,-32.9282712,151.7816802
59,4101,"pa/0901","PA","03-10-09","Australia","WA","Cannington","Wild West Challenge",2009,-32.017,115.934
60,4102,"pa/0902","PA","20-06-09","Australia","WA","Perth","Western Australia Open",2009,-31.9505269,115.8604572
61,4103,"pa/0903","PA","18-04-09","Australia","WA","Perth","2009 WA Qualifier",2009,-31.9505269,115.8604572
62,4104,"pa/0904","PA","05-12-09","Australia","WA","Cannington","WA Push Pull Challenge",2009,-32.017,115.934
63,4105,"pa/0905","PA","13-08-09","Australia","QLD","St. Lucia","UQ Novice Competition II",2009,-27.5,153
64,4106,"pa/0906","PA","31-01-09","Australia","QLD","St. Lucia","UQ Novice Championships",2009,-27.5,153
65,4107,"pa/0907","PA","10-10-09","Australia","TAS","Ulverstone","Ulverstone Open",2009,-41.1702632,146.1872071
66,4108,"pa/0908","PA","29-03-09","Australia","QLD","Townsville","Townsville Open",2009,-19.2589635,146.8169483
67,4109,"pa/0909","PA","16-05-09","Australia","TAS","Wynyard","Tasmanian Open",2009,-41,145.7166671
68,4110,"pa/0910","PA","18-10-09","Australia","NSW","Sydney","Sydney Bench Press Open",2009,-33.8688197,151.2092955
69,4111,"pa/0911","PA","30-05-09","Australia","SA","Mannum","South Australian Open",2009,-34.9130677,139.3052195
70,4112,"pa/0912","PA","16-05-09","Australia","NSW","Singleton","Singleton Strength Triathlon",2009,-32.5694741,151.1788155
71,4113,"pa/0913","PA","28-11-09","Australia","QLD","Beenleigh","SE Challenge",2009,-27.716111,153.201944
72,4114,"pa/0914","PA","04-04-09","Australia","VIC","Melbourne","2009 Australian Junior Championships and Intervarsity Championships and Melbourne Open",2009,-37.8136276,144.9630576
73,4115,"pa/0915","PA","28-02-09","Australia","VIC","Geelong","2009 Australian Masters Games and Masters Championships and Geelong Open",2009,-38.1499181,144.3617186
74,4116,"pa/0916","PA","18-07-09","Australia","NSW","Sydney","2009 Australian PL and BP Championships and Sydney PL and BP Classic",2009,-33.8688197,151.2092955
75,4117,"pa/0917","PA","19-06-09","Australia","QLD","Acacia Park","Acacia Park Novice Competition",2009,-27.2888603,153.0183871
76,4118,"pa/0918","PA","21-02-09","Australia","SA","Mannum","Country Open",2009,-34.9130677,139.3052195
77,4119,"pa/0919","PA","15-02-09","Australia","NSW","Sydney","February Might and Power",2009,-33.8688197,151.2092955
78,4120,"pa/0920","PA","19-09-09","Australia","VIC","Campbellfield","Global One Battler's Open",2009,-37.673,144.957
79,4121,"pa/0921","PA","13-06-09","Australia","VIC","Campbellfield","Global One Challenge",2009,-37.673,144.957
80,4122,"pa/0922","PA","11-10-09","Australia","SA","Mannum","Riverland Challenge",2009,-34.9130677,139.3052195
81,4123,"pa/0923","PA","28-03-09","Australia","QLD","Brisbane","2009 Queensland Open",2009,-27.4697707,153.0251235
82,4124,"pa/0924","PA","07-03-09","Australia","NSW","Toronto","NSW Open Juniors and Masters",2009,-33.016194,151.582583
83,4125,"pa/0925","PA","21-11-09","Australia","NSW","Sydney","Matti Tikka Challenge",2009,-33.8688197,151.2092955
84,4126,"pa/0926","PA","14-02-09","Australia","TAS","Launceston","Launceston Challenge",2009,-41.4332215,147.1440875
85,4127,"pa/0927","PA","05-09-09","Australia","NSW","Toronto","Lake Macquarie Open",2009,-33.016194,151.582583
86,4128,"pa/0928","PA","27-09-09","Australia","QLD","Townsville","John Hill Cup",2009,-19.2589635,146.8169483
87,4129,"pa/0929","PA","12-12-09","Australia","TAS","Hobart","Hobart Open",2009,-42.8821377,147.3271949
88,4130,"pa/0930","PA","28-11-09","Australia","VIC","Campbellfield","Global One Victorian Extravaganza",2009,-37.673,144.957
89,4131,"pa/1001","PA","02-10-10","Australia","WA","Perth","Wild West Challenge",2010,-31.9505269,115.8604572
90,4132,"pa/1002","PA","04-12-10","Australia","TAS","Launceston","Tassie Final Show of Strength",2010,-41.4332215,147.1440875
91,4133,"pa/1003","PA","15-08-10","Australia","QLD","St Lucia","Winter UQ Novice Competition",2010,-27.5,153
92,4134,"pa/1004","PA","17-04-10","Australia","WA","Cannington","Western Australia Open",2010,-32.017,115.934
93,4135,"pa/1005","PA","11-04-10","Australia","VIC","Hawthorn","Victorian Open",2010,-37.826,145.034
94,4136,"pa/1006","PA","28-11-10","Australia","VIC","Hawthorn","Victorian Extravaganza",2010,-37.826,145.034
95,4137,"pa/1007","PA","12-06-10","Australia","TAS","Wynyard","Tasmanian Open",2010,-41,145.7166671
96,4138,"pa/1008","PA","28-02-10","Australia","NSW","North Sydney","Sydney Powerlifting and Bench Press Open",2010,-33.83965,151.20541
97,4139,"pa/1009","PA","30-01-10","Australia","QLD","St Lucia","Summer UQ Novice Competition",2010,-27.5,153
98,4140,"pa/1010","PA","19-09-10","Australia","VIC","Hawthorn","Starting Strength Challenge",2010,-37.826,145.034
99,4141,"pa/1011","PA","22-05-10","Australia","NSW","Singleton","Singleton Strength Triathlon",2010,-32.5694741,151.1788155
100,4142,"pa/1012","PA","27-10-10","Australia","QLD","St Lucia","SE Challenge",2010,-27.5,153
101,4143,"pa/1013","PA","09-10-10","Australia","SA","Mannum","Riverland Challenge",2010,-34.9130677,139.3052195
102,4144,"pa/1014","PA","27-03-10","Australia","QLD","Brisbane","2010 Queensland Open",2010,-27.4697707,153.0251235
103,4145,"pa/1015","PA","12-06-10","Australia","WA","Karratha","Pilbara Powerfest",2010,-20.73535,116.8458043
104,4146,"pa/1016","PA","17-10-10","Australia","NSW","North Sydney","North Sydney Bench Press Competition",2010,-33.83965,151.20541
105,4147,"pa/1017","PA","20-02-10","Australia","VIC","Campbellfield","Melbourne Summer Bash",2010,-37.673,144.957
106,4148,"pa/1018","PA","04-12-10","Australia","NSW","Bondi","Matti Tikka Challenge",2010,-33.89102,151.277726
107,4149,"pa/1019","PA","20-03-10","Australia","TAS","Launceston","Launceston Open",2010,-41.4332215,147.1440875
108,4150,"pa/1020","PA","11-09-10","Australia","TAS","Launceston","Launceston Novice Comp",2010,-41.4332215,147.1440875
109,4151,"pa/1021","PA","04-09-10","Australia","NSW","Toronto","Lake Macquarie Open",2010,-33.016194,151.582583
110,4152,"pa/1022","PA","17-09-10","Australia","QLD","Townsville","John Hill Cup",2010,-19.2589635,146.8169483
111,4153,"pa/1023","PA","27-06-10","Australia","VIC","Hawthorn","Hawk Novice Comp",2010,-37.826,145.034
112,4154,"pa/1024","PA","27-03-10","Australia","NSW","Toronto","Bristow Open",2010,-33.016194,151.582583
113,4155,"pa/1025","PA","06-06-10","Australia","NSW","Sydney","Bondi Beach Lift",2010,-33.8688197,151.2092955
114,4156,"pa/1026","PA","14-03-10","Australia","SA","Adelaide","Adelaide Classic",2010,-34.9284989,138.6007456
115,4157,"pa/1027","PA","12-06-10","Australia","QLD","St Lucia","Acacia Park Novice Comp",2010,-27.5,153
116,4158,"pa/1028","PA","17-04-10","Australia","QLD","Townsville","2010 Suncorp North Queensland Games International",2010,-19.2589635,146.8169483
117,4159,"pa/1029","PA","11-04-10","Australia","QLD","Townsville","2010 Suncorp North Queensland Games",2010,-19.2589635,146.8169483
118,4160,"pa/1030","PA","24-07-10","Australia","VIC","Melbourne","2010 Australian Open Powerlifting and Bench Press Championships and Intervarsity Championships",2010,-37.8136276,144.9630576
119,4161,"pa/1031","PA","08-05-10","Australia","SA","Mannum","2010 Australian Juniors and Masters Powerlifting and Bench Press Championships and ABSF Championships and South Australian Powerlifting and Bench Press Open",2010,-34.9130677,139.3052195
120,4162,"pa/1101","PA","18-09-11","Australia","VIC","Hawthorn","Starting Strength Challenge",2011,-37.826,145.034
121,4163,"pa/1102","PA","27-02-11","Australia","VIC","North Sydney","Sydney Open",2011,-33.8373959,151.2034248
122,4164,"pa/1103","PA","27-03-11","Australia","VIC","Hawthorn","Melbourne Powerlifting and Bench Press Open",2011,-37.826,145.034
123,4165,"pa/1104","PA","24-09-11","Australia","TAS","Launceston","Tassie Tough Cup",2011,-41.4332215,147.1440875
124,4166,"pa/1105","PA","17-07-11","Australia","NSW","Sydney","Hercules of the West RAW Championships",2011,-33.8688197,151.2092955
125,4168,"pa/1107","PA","26-03-11","Australia","VIC","Melbourne","2011 Australian Raw Powerlifting and Bench Press Championships",2011,-37.8136276,144.9630576
126,4169,"pa/1108","PA","30-04-11","Australia","QLD","Townsville","Australian Juniors and Masters Powerlifting and Bench Press Championships and Art of Strength Raw Championships",2011,-19.2589635,146.8169483
127,4170,"pa/1109","PA","15-10-11","Australia","SA","Adelaide","2011 Australian Masters Games",2011,-34.9284989,138.6007456
128,4171,"pa/1110","PA","20-07-11","Australia","VIC","Melbourne","2011 Australian Powerlifting and Bench Press Championships and Pacific Invitational",2011,-37.8136276,144.9630576
129,4172,"pa/1111","PA","14-08-11","Australia","QLD","Brisbane","Acacia Park Winter Novice Powerlifting and Bench Press Competition",2011,-27.4697707,153.0251235
130,4173,"pa/1112","PA","12-06-11","Australia","QLD","Brisbane","Acacia Park Novice Powerlifting and Bench Press Competition",2011,-27.4697707,153.0251235
131,4174,"pa/1113","PA","16-10-11","Australia","QLD","Brisbane","Autumn UQ Novice Comp",2011,-27.4697707,153.0251235
132,4175,"pa/1114","PA","26-02-11","Australia","QLD","Townsville","The Powerlifting Contender",2011,-19.2589635,146.8169483
133,4176,"pa/1115","PA","13-02-11","Australia","VIC","Melbourne","Melbourne Summer Bash",2011,-37.8136276,144.9630576
134,4177,"pa/1116","PA","08-10-11","Australia","WA","Belmont","Wild West Challenge",2011,-31.945,115.927
135,4178,"pa/1117","PA","19-03-11","Australia","NSW","Caves Beach","Bristow Open and Lack Macquarie Master Games",2011,-33.1063425,151.6450391
136,4179,"pa/1118","PA","04-06-11","Australia","SA","Mannum","City vs Country",2011,-34.9130677,139.3052195
137,4180,"pa/1119","PA","05-03-11","Australia","SA","Adelaide","Fortus Classic",2011,-34.9284989,138.6007456
138,4181,"pa/1120","PA","26-06-11","Australia","VIC","Melbourne","Hawk Challenge",2011,-37.8136276,144.9630576
139,4182,"pa/1121","PA","10-09-11","Australia","QLD","Townsville","John Hill Cup",2011,-19.2589635,146.8169483
140,4183,"pa/1122","PA","03-12-11","Australia","NSW","North Sydney","Matti Tikka Challenge",2011,-33.83965,151.20541
141,4184,"pa/1123","PA","30-09-11","Australia","NSW","North Sydney","North Sydney Bench Press Comp",2011,-33.83965,151.20541
142,4185,"pa/1124","PA","26-02-11","Australia","WA","Karrartha","North West Challenge",2011,-20.73535,116.8458043
143,4186,"pa/1125","PA","27-03-11","Australia","QLD","Jindalee","Queensland Powerlifting and Bench Press Open",2011,-27.5373,152.9354
144,4187,"pa/1126","PA","27-11-11","Australia","QLD","Brisbane","SE Challenge Powerlifting and Benchpress Championships",2011,-27.4697707,153.0251235
145,4188,"pa/1127","PA","21-05-11","Australia","NSW","Singleton","Raw Singleton Strength Triathlon",2011,-32.5694741,151.1788155
146,4189,"pa/1128","PA","30-01-11","Australia","QLD","Brisbane","Summer UQ Novice Comp",2011,-27.4697707,153.0251235
147,4190,"pa/1129","PA","11-06-11","Australia","TAS","Launceston","Tasmanian Open",2011,-41.4332215,147.1440875
148,4191,"pa/1130","PA","03-09-11","Australia","NSW","Toronto","Toronto Open",2011,-33.016194,151.582583
149,4192,"pa/1131","PA","27-11-11","Australia","VIC","Melbourne","Victorian Extravaganza",2011,-37.8136276,144.9630576
150,4193,"pa/1132","PA","21-05-11","Australia","WA","Belmont","WA Open",2011,-31.945,115.927
151,4194,"pa/1133","PA","17-04-11","Australia","NSW","Sydney","Western Sydney Hardcore Challenge",2011,-33.8688197,151.2092955
152,4195,"pa/1201","PA","14-10-12","Australia","QLD","Townsville","Townsville Open",2012,-19.2589635,146.8169483
153,4196,"pa/1202","PA","01-04-12","Australia","VIC","Melbourne","2012 Raw Pacific Invitational",2012,-37.8136276,144.9630576
154,4197,"pa/1203","PA","16-09-12","Australia","VIC","Hawthorn","Starting Strength Challenge",2012,-37.826,145.034
155,4198,"pa/1204","PA","24-11-12","Australia","QLD","Brisbane","Matti Tikka Challenge",2012,-27.4697707,153.0251235
156,4199,"pa/1205","PA","13-10-12","Australia","SA","Mannum","South Australian Open",2012,-34.9130677,139.3052195
157,4200,"pa/1206","PA","13-10-12","Australia","WA","Port Kennedy","Crossfit Armed Open",2012,-32.369,115.736
158,4201,"pa/1207","PA","10-06-12","Australia","VIC","Hawthorn","Hawk Challenge",2012,-37.826,145.034
159,4202,"pa/1208","PA","24-03-12","Australia","QLD","Fortitude Valley","Queensland Open",2012,-27.4565,153.0345
160,4203,"pa/1209","PA","16-06-12","Australia","SA","Monnum","City Vs Country",2012,-34.9130677,139.3052195
