MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
5051,spf-archive/0099,SPF,2010-02-20,USA,VA,,Brute Strength Classic
5052,spf-archive/0101,SPF,2010-03-20,USA,TX,,Longhorn Classic
5053,spf-archive/0102,SPF,2010-04-03,USA,AL,,Southern Alabama Push/Pull Championship
5054,spf-archive/0103,SPF,2010-05-01,USA,AR,,Southeast Regionals
5055,spf-archive/0104,SPF,2010-07-31,USA,AR,,Strongest in the South
5056,spf-archive/0107,SPF,2010-11-20,USA,AR,,Arkansas Christmas Classic
5057,spf-archive/0108,SPF,2010-11-13,USA,,,Record Breakers
5058,spf-archive/0110,SPF,2010-01-23,USA,AL,Guntersville,Alabama State Championship
5059,spf-archive/0111,SPF,2010-07-10,USA,AR,,Battle of the States
5060,spf-archive/0113,SPF,2009-12-20,USA,,,Merry Freaken Christmas
5061,spf-archive/0114,SPF,2010-03-27,USA,,,Guerrilla Squad Barbell Classic
5062,spf-archive/0115,SPF,2010-04-24,USA,,,Iron House Classic
5063,spf-archive/0116,SPF,2010-03-14,USA,,,March Madness
5064,spf-archive/0118,SPF,2010-04-10,USA,NC,Ashville,The Carolina Classic Powerlifting Championship
5065,spf-archive/0119,SPF,2010-05-08,USA,SC,Chesney,Summerfest Push/Pull and Bench Press Championship
5066,spf-archive/0120,SPF,2010-04-17,USA,,,Southern Bench Press and Deadlift Championship
5067,spf-archive/0121,SPF,2010-07-17,USA,AL,,Southern Regional
5068,spf-archive/0123,SPF,2010-05-23,USA,CA,Sacramento,Super Training Powerlifting and Bench Press
5069,spf-archive/0124,SPF,2010-04-17,USA,,,Big Erv Classic
5070,spf-archive/0126,SPF,2010-07-03,USA,OH,Cincinnati,Sweatt Shop Bench Classic
5071,spf-archive/0127,SPF,2010-10-23,USA,AL,,Southern Alabama Powerlifting Championship
5072,spf-archive/0128,SPF,2010-05-22,USA,,,River City Push/Pull Championship
5073,spf-archive/0132,SPF,2010-10-23,USA,VA,,Brute Strength Gym Virginia Open
5074,spf-archive/0133,SPF,2010-08-07,USA,GA,,Georgia State Championship
5075,spf-archive/0134,SPF,2010-11-06,USA,TX,Dallas,Fall Madness
5076,spf-archive/0135,SPF,2011-03-05,USA,,,Ironman Classic
5077,spf-archive/0136,SPF,2010-07-25,USA,CA,,Bay Area 3-in-1
5078,spf-archive/0137,SPF,2011-02-26,USA,,,Ozark Mountain Classic
5079,spf-archive/0138,SPF,2011-02-12,USA,AL,,Alabama State Championship
5080,spf-archive/0139,SPF,2011-07-09,USA,,,Sweatt Shop Classic
5081,spf-archive/0142,SPF,2010-10-03,USA,,,Bash for the Cash
5082,spf-archive/0143,SPF,2010-12-05,USA,,,Luke Edwards Benefit Bash
5083,spf-archive/0145,SPF,2010-11-07,USA,CA,Sacramento,Women's Pro Open
5084,spf-archive/0146,SPF,2010-11-06,USA,CA,Sacramento,Fall Men's Open
5085,spf-archive/0147,SPF,2011-05-14,USA,KY,Richmond,Guerrilla Squad Barbell Classic
5086,spf-archive/0148,SPF,2011-03-26,USA,AR,,Arkansas State Championship
5087,spf-archive/0149,SPF,2010-12-11,USA,GA,,Body by George Mini Meet
5088,spf-archive/0150,SPF,2010-11-20,USA,,,Big Iron Open
5089,spf-archive/0151,SPF,2011-01-29,USA,TN,,Tennessee State Championship
5090,spf-archive/0152,SPF,2011-06-17,USA,,,SPF Nationals
5091,spf-archive/0153,SPF,2011-05-07,USA,AL,,Mayfest Powerlifting Championship
5092,spf-archive/0155,SPF,2011-03-12,USA,VA,,Brute Strength Gym Shamrock Powerlifting and Bench Press Meet
5093,spf-archive/0156,SPF,2011-04-09,USA,,,SPF QUEST FOR ULTIMATE GLORY
5094,spf-archive/0157,SPF,2011-04-16,USA,NC,,Carolina Classic Powerlifting Championship
5095,spf-archive/0158,SPF,2011-04-02,USA,GA,,Georgia State Championship
5096,spf-archive/0159,SPF,2011-11-12,USA,,,Record Breakers
5097,spf-archive/0160,SPF,2011-09-17,USA,,,SPF/WBPLA North American Powerlifting Championship
5098,spf-archive/0161,SPF,2011-01-09,USA,CA,,Bay Area 4-in-1 Meet
5099,spf-archive/0162,SPF,2011-02-19,USA,TX,,Longhorn Classic
5100,spf-archive/0163,SPF,2011-04-09,USA,SC,Myrtle Beach,North Myrtle Beach Classic
5101,spf-archive/0164,SPF,2011-11-05,USA,SC,,South Carolina State Championship
5102,spf-archive/0165,SPF,2011-04-30,USA,OH,,Ohio State Powerlifting and Bench Press Championship
5103,spf-archive/0167,SPF,2011-11-06,USA,CA,,Women's Pro/Am
5104,spf-archive/0169,SPF,2011-03-26,USA,SC,,Heavy Metal Thunder
5105,spf-archive/0171,SPF,2011-04-16,USA,,,Southern Open Bash on the Beach
5106,spf-archive/0172,SPF,2011-08-20,USA,OH,Cincinnati,2011 PowerStation Pro/Am
5107,spf-archive/0173,SPF,2011-03-20,USA,,,2011 SPF March Madness
5108,spf-archive/0175,SPF,2011-02-05,USA,TN,Woodbury,Ironchain Classic
5109,spf-archive/0177,SPF,2011-09-10,USA,AL,,Southern Regionals
5110,spf-archive/0178,SPF,2011-05-15,USA,CA,Sacramento,2011 SPF California State Championships
5111,spf-archive/0180,SPF,2012-02-18,USA,TN,,Ironchain Push/Pull Classic
5112,spf-archive/0182,SPF,2011-10-08,USA,MO,,Montana State Championship
5113,spf-archive/0184,SPF,2011-05-28,USA,SC,,Raw VS Gear War
5114,spf-archive/0188,SPF,2011-07-16,USA,FL,,North Florida Bench Press Shootout
5115,spf-archive/0191,SPF,2011-12-04,USA,,,North of the Border
5116,spf-archive/0196,SPF,2011-10-15,USA,WA,,Washington State Northwest Iron Wars
5117,spf-archive/0197,SPF,2012-04-28,USA,AR,,South Central Regional Powerlifting Meet
5118,spf-archive/0204,SPF,2011-10-15,USA,MS,,Mississippi State Powerlifting Championship
5119,spf-archive/0205,SPF,2012-01-21,USA,AR,,Proving Ground Classic
5120,spf-archive/0207,SPF,2012-02-04,USA,,,Bench Press Nationals
5121,spf-archive/0209,SPF,2011-11-05,USA,,,2011 SPF Men's Fall Open 4-in-1
5122,spf-archive/0210,SPF,2012-02-25,USA,AL,,Alabama State Championship
5123,spf-archive/0219,SPF,2012-10-06,USA,MO,,Montana State Championship
5124,spf-archive/0220,SPF,2011-12-11,USA,,,Santa Claus Classic
5125,spf-archive/0222,SPF,2012-04-14,USA,CA,Sacramento,Women's Pro/Am
5126,spf-archive/0223,SPF,2012-04-07,USA,TX,,Longhorn Classic
5127,spf-archive/0224,SPF,2012-05-05,USA,SC,Myrtle Beach,North Myrtle Beach Classic
5128,spf-archive/0227,SPF,2012-05-27,USA,CA,,2012 SPF California State Championships
5129,spf-archive/0228,SPF,2012-11-03,USA,,,Men's Fall Open 4-in-1
5130,spf-archive/0229,SPF,2012-11-04,USA,OH,Cincinnati,2012 SPF Women's Pro-Am
5131,spf-archive/0230,SPF,2012-04-14,USA,FL,,1st Annual East Coast Powerlifting Championship
5132,spf-archive/0231,SPF,2012-03-17,USA,NC,,North Carolina State Powerlifting Championship
5133,spf-archive/0232,SPF,2012-02-26,USA,CA,Sacramento,2012 SPF Super Training Open
5134,spf-archive/0233,SPF,2012-04-01,USA,,,No Foolin' Powerlifting Open
5135,spf-archive/0238,SPF,2012-08-25,USA,,,Powerstation Pro/Am
5136,spf-archive/0241,SPF,2012-03-10,USA,,,Ironman Classic Pro/Am
5137,spf-archive/0242,SPF,2012-05-05,USA,,,Steel World Bench Press or Deadlift
